"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,esm,,text,"Record ID",,"Redcap ID field (autogenerated by Redcap)",,,,,,,,,,,
esm_sleep_well,esm,,radio,"Jeg har sovet godt","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_cheerful,esm,,radio,"Lige nu føler jeg mig glad","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_down,esm,,radio,"Lige nu føler jeg mig trist","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_anxious,esm,,radio,"Lige nu føler jeg mig ængstelig","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_relaxed,esm,,radio,"Lige nu føler jeg mig afslappet","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_irritated,esm,,radio,"Lige nu føler jeg mig irritabel","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_stressed,esm,,radio,"Lige nu føler jeg mig stresset","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_content,esm,,radio,"Lige nu føler jeg mig veltilfreds","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_insecure,esm,,radio,"Lige nu føler jeg mig usikker","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_hopeful,esm,,radio,"Lige nu føler jeg mig håbefuld","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_lonely,esm,,radio,"Lige nu føler jeg mig ensom","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_statisfied,esm,,radio,"Lige nu er jeg tilfreds med mig selv","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_restless,esm,,radio,"Jeg føler mig rastløs","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_confident,esm,,radio,"Lige nu føler jeg mig selvsikker","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_qol,esm,,radio,"Alt i alt har jeg det godt","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_ruminating,esm,,radio,"Jeg tænker meget over tingene","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_concentrate,esm,,radio,"Jeg er god til at koncentrere mig","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm1,,range-type
esm_phys_activity,esm,,checkbox,"Hvad laver jeg  (lige før bippet)","0, Ingenting | 1, Hviler | 2, Spiser/Drikker | 3, Passiv underholdning | 4, Aktiv underholdning | 5, Rejser | 6, Husholdning/indkøb | 7, Arbejder/studerer | 8, Plejer mig selv | 9, Er sammen med andre/Taler med andre | 10, Mobil tlelfon / Sociale medier | 11, Andet",,,,,,,,,,,,
esm_activity_well,esm,,radio,"Jeg kan udføre dette uden problemer","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm2,,range-type
esm_activity_else,esm,,radio,"Jeg ville hellere lave noget andet","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm2,,range-type
esm_activity_effort,esm,,radio,"Denne aktivitet kræver en del kræfter","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm2,,range-type
esm_physical_active,esm,,radio,"Fysisk er jeg aktiv","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm3,,range-type
esm_physical_tired,esm,,radio,"Jeg er fysisk træt","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm3,,range-type
esm_physical_pain,esm,,radio,"Jeg har fysiske smerter","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm3,,range-type
esm_physical_well,esm,,radio,"Jeg har det fysisk dårligt","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm3,,range-type
esm_location,esm,,radio,"Hvor er jeg henne?","0, Hjemme | 1, Hos familie eller venner | 2, På arbejde eller i skole | 3, Transport | 4, Sundhedsvæsnet | 5, Andet sted indendøre | 6, Andet sted udendøre",,,,,,,,,,,,
esm_social_interact,esm,,checkbox,"Hvem er jeg sammen med?","0, Alene | 1, Partner | 2, Familie - samboende | 3, Familie - ikke samboende | 4, Bofæller | 5, Venner | 6, Klassekammerater/kolleger | 7, Sundhedspersonale | 8, Fremmede/Andre",,,,,,,,,,,,
esm_social_people,esm,,radio,"Hvor mange mennesker er jeg sammen med?","1,1|2,2|3,3-10|4,over 10",,,,,,"[esm_social_interact(1)] = ""1"" or [esm_social_interact(2)] = ""1"" or [esm_social_interact(3)] = ""1"" or [esm_social_interact(4)] = ""1"" or [esm_social_interact(5)] = ""1"" or [esm_social_interact(6)] = ""1"" or [esm_social_interact(7)] = ""1"" or [esm_social_interact(8)] = ""1""",,,,,,
esm_social_doing,esm,,radio,"Vi laver noget sammen","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,"[esm_social_interact(1)] = ""1"" or [esm_social_interact(2)] = ""1"" or [esm_social_interact(3)] = ""1"" or [esm_social_interact(4)] = ""1"" or [esm_social_interact(5)] = ""1"" or [esm_social_interact(6)] = ""1"" or [esm_social_interact(7)] = ""1"" or [esm_social_interact(8)] = ""1""",,,,esm4,,range-type
esm_social_pleasant,esm,,radio,"De mennesker jeg er sammen med er rare at være sammen med","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,"[esm_social_interact(1)] = ""1"" or [esm_social_interact(2)] = ""1"" or [esm_social_interact(3)] = ""1"" or [esm_social_interact(4)] = ""1"" or [esm_social_interact(5)] = ""1"" or [esm_social_interact(6)] = ""1"" or [esm_social_interact(7)] = ""1"" or [esm_social_interact(8)] = ""1""",,,,esm4,,range-type
esm_social_alone,esm,,radio,"Jeg ville have foretrukket at være alene","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,"[esm_social_interact(1)] = ""1"" or [esm_social_interact(2)] = ""1"" or [esm_social_interact(3)] = ""1"" or [esm_social_interact(4)] = ""1"" or [esm_social_interact(5)] = ""1"" or [esm_social_interact(6)] = ""1"" or [esm_social_interact(7)] = ""1"" or [esm_social_interact(8)] = ""1""",,,,esm4,,range-type
esm_social_connected,esm,,radio,"Jeg føler mig knyttet til de mennesker jeg er sammen med.","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,"[esm_social_interact(1)] = ""1"" or [esm_social_interact(2)] = ""1"" or [esm_social_interact(3)] = ""1"" or [esm_social_interact(4)] = ""1"" or [esm_social_interact(5)] = ""1"" or [esm_social_interact(6)] = ""1"" or [esm_social_interact(7)] = ""1"" or [esm_social_interact(8)] = ""1""",,,,esm4,,range-type
esm_social_ok_alone,esm,,radio,"Jeg har det fint med at være alene","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,"[esm_social_interact(0)] = ""1""",,,,esm5,,range-type
esm_social_others,esm,,radio,"Jeg ville foretrække at være sammen med andre","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,"[esm_social_interact(0)] = ""1""",,,,esm5,,range-type
esm_social_choice,esm,,radio,"Jeg har selv valgt at være alene lige nu","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,"[esm_social_interact(0)] = ""1""",,,,esm5,,range-type
esm_social_left_out,esm,,radio,"Jeg føler mig udenfor","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,"[esm_social_interact(0)] = ""1""",,,,esm5,,range-type
esm_social_virt_interact,esm,,radio,"Jeg er virituelt interaktiv ","0,Nej|1,Ja",,,,,,,,,,,,
esm_social_virt_pleasant,esm,,radio,"Jeg kan godt lide at være virituelt aktiv","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,"[esm_social_virt_interact]=""1""",,,,,,range-type
esm_stress_situation,esm,,radio,"Andre ville nok finde min situation stressfuld","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,,,range-type
esm_stress,esm,,radio,"Tænk på den vigtigste hændelse der er sket siden sidste bip. Denne hændelse var:","-3,-3 Meget ubehagelig|-2,-2|-1,-1|0,0|1,1|2,2|3,3 Meget behagelig",,,,,,,,,,,,
esm_event,esm,,radio,"Denne hændelse var:","-3,-3 Ikke vigtig|-2,-2|-1,-1|0,0|1,1|2,2|3,3 Meget vigtig",,,,,,,,,,,,
esm_medication,esm,,radio,"Siden sidste bip har jeg indtaget:","0,Mad|1,Koffein|2,Nikotin|3,Alkohol|4,Medicin|5,Andre substanser|6,Ingenting",,,,,,,,,,,,
esm_beep,esm,,radio,"Dette bip forstyrrede mig","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm6,,range-type
esm_questionnaire,esm,,radio,"At udfylde dette spørgeskema har påvirket mit humør i dag.","1, 1 Slet ikke | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Rigtig meget",,,,,,,,,,esm6,,range-type
pdq_1,perceived_deficits_questionnaire,"During the past 7-days, how often did you:",radio,"Have trouble getting things organised?","0,Aldrig i de seneste 7 dage|1,Sjældent (en eller 2 gange)|2,Sommetider (3-5 gange)|3,Ofte (omkring en gang om dagen)|4, Meget ofte (mere end en gang om dagen)",,,,,,,,,,pdq,,
pdq_2,perceived_deficits_questionnaire,,radio,"Have trouble concentrating on what you were reading?","0,Aldrig i de seneste 7 dage|1,Sjældent (en eller 2 gange)|2,Sommetider (3-5 gange)|3,Ofte (omkring en gang om dagen)|4, Meget ofte (mere end en gang om dagen)",,,,,,,,,,pdq,,
pdq_3,perceived_deficits_questionnaire,,radio,"Forget the date unless you looked it up?","0,Aldrig i de seneste 7 dage|1,Sjældent (en eller 2 gange)|2,Sommetider (3-5 gange)|3,Ofte (omkring en gang om dagen)|4, Meget ofte (mere end en gang om dagen)",,,,,,,,,,pdq,,
pdq_4,perceived_deficits_questionnaire,,radio,"Forget what you talked about after a telephone conversation?","0,Aldrig i de seneste 7 dage|1,Sjældent (en eller 2 gange)|2,Sommetider (3-5 gange)|3,Ofte (omkring en gang om dagen)|4, Meget ofte (mere end en gang om dagen)",,,,,,,,,,pdq,,
pdq_5,perceived_deficits_questionnaire,,radio,"Feel like your mind went totally blank?","0,Aldrig i de seneste 7 dage|1,Sjældent (en eller 2 gange)|2,Sommetider (3-5 gange)|3,Ofte (omkring en gang om dagen)|4, Meget ofte (mere end en gang om dagen)",,,,,,,,,,pdq,,
