"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,esm,,text,"Record ID",,"Redcap ID field (autogenerated by Redcap)",,,,,,,,,,,
esm_sleep_well,esm,,radio,"Ik heb goed geslapen","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_cheerful,esm,,radio,"Op dit moment voel ik me opgewekt","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_down,esm,,radio,"Op dit moment voel ik me somber","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_anxious,esm,,radio,"Op dit moment voel ik me angstig","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_relaxed,esm,,radio,"Op dit moment voel ik me ontspannen","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_irritated,esm,,radio,"Op dit moment voel ik me geirriteerd","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_stressed,esm,,radio,"Op dit moment voel ik me gestressed","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_content,esm,,radio,"Op dit moment voel ik me tevreden","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_insecure,esm,,radio,"Op dit moment voel ik me onzeker","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_hopeful,esm,,radio,"Op dit moment voel ik me hoopvol","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_lonely,esm,,radio,"Op dit moment voel ik me eenzaam","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_statisfied,esm,,radio,"Ik ben tevreden met mijzelf","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_restless,esm,,radio,"Ik voel me rusteloos","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_confident,esm,,radio,"Ik voel me zelfverzekerd","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_qol,esm,,radio,"Globaal gezien voel ik me nu goed","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_ruminating,esm,,radio,"Ik ben aan het piekeren","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_concentrate,esm,,radio,"Ik kan me goed concentreren","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm1,,range-type
esm_phys_activity,esm,,checkbox,"Wat ben ik aan het doen (voor de piep)?","0, Niets | 1, Rusten | 2, Eten/drinken | 3, Passieve vrijetijdsbesteding | 4, Actieve vrije tijdsbesteding | 5, Reizen | 6, Huishouden/boodschappen | 7, Werk/studie | 8, Zelfverzorging | 9, Interactie/gesprek | 10, Mobiele telefoon/sociale media | 11, Iets anders",,,,,,,,,,,,
esm_activity_well,esm,,radio,"Dit kan ik goed","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm2,,range-type
esm_activity_else,esm,,radio,"Ik zou liever iets anders doen","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm2,,range-type
esm_activity_effort,esm,,radio,"Deze activiteit is een uitdaging","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm2,,range-type
esm_physical_active,esm,,radio,"Ik ben fysiek actief","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm3,,range-type
esm_physical_tired,esm,,radio,"Ik ben moe","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm3,,range-type
esm_physical_pain,esm,,radio,"Ik heb pijn","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm3,,range-type
esm_physical_well,esm,,radio,"Ik voel me fysiek niet goed","1, 1 Niet | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Zeer",,,,,,,,,,esm3,,range-type
esm_location,esm,,radio,"Waar ben ik?","0, Thuis| 1, Bij familie of vrienden | 2, Op het werk of op school | 3, Onderweg | 4, Gezondheidszorginstelling | 5, Ergens anders in een gebouw | 6, Ergens anders buiten",,,,,,,,,,,,
