"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,esm,,text,"Record ID",,"Redcap ID field (autogenerated by Redcap)",,,,,,,,,,,
esm_sleep_well,esm,,radio,"I slept well","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_cheerful,esm,,radio,"Right now, I feel cheerful","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_down,esm,,radio,"Right now, I feel down","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_anxious,esm,,radio,"Right now, I feel anxious","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_relaxed,esm,,radio,"Right now, I feel relaxed","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_irritated,esm,,radio,"Right now, I feel irritated","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_stressed,esm,,radio,"Right now, I feel stressed","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_content,esm,,radio,"Right now, I feel content","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_insecure,esm,,radio,"Right now, I feel insecure","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_hopeful,esm,,radio,"Right now, I feel hopeful","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_lonely,esm,,radio,"Right now, I feel lonely","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_statisfied,esm,,radio,"I am satisfied with myself","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_restless,esm,,radio,"I feel restless","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_confident,esm,,radio,"I feel self-confident","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_qol,esm,,radio,"Globally, I feel well","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_ruminating,esm,,radio,"I am ruminating","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_concentrate,esm,,radio,"I am able to concentrate well","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm1,,range-type
esm_phys_activity,esm,,checkbox,"What am I doing (just before the beep)?","0, Nothing | 1, Resting | 2, Eating/drinking | 3, Passive leisure | 4, Active leisure | 5, Travel | 6, Household/groceries | 7, Work/study | 8, Self-care | 9, Interaction/conversation | 10, Mobile phone/social media | 11, Something else",,,,,,,,,,,,
esm_activity_well,esm,,radio,"I can do this well","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm2,,range-type
esm_activity_else,esm,,radio,"I would rather do something else","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm2,,range-type
esm_activity_effort,esm,,radio,"This activity requires effort","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm2,,range-type
esm_physical_active,esm,,radio,"Physically, I am active","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm3,,range-type
esm_physical_tired,esm,,radio,"Physically, I am tired","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm3,,range-type
esm_physical_pain,esm,,radio,"Physically, I am in pain","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm3,,range-type
esm_physical_well,esm,,radio,"Physically, I do not feel well","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,esm3,,range-type
esm_location,esm,,radio,"Where am I?","0, At home | 1, At family or friends place | 2, At work or school | 3, Transport | 4, Healthcare facility | 5, Somewhere else indoors | 6, Somewhere else outdoors",,,,,,,,,,,,
esm_social_interact,esm,,checkbox,"Who am I with?","0, Alone | 1, Partner | 2, Relatives living with you | 3, Relatives not living with you | 4, House/room mates | 5, Friends | 6, Classmates/colleagues | 7, Caregiver(s) | 8, Strangers/others",,,,,,,,,,,,
esm_social_people,esm,,radio,"How many people am I with?","1,1|2,2|3,3-10|4,over 10",,,,,,"[esm_social_interact(1)] = ""1"" or [esm_social_interact(2)] = ""1"" or [esm_social_interact(3)] = ""1"" or [esm_social_interact(4)] = ""1"" or [esm_social_interact(5)] = ""1"" or [esm_social_interact(6)] = ""1"" or [esm_social_interact(7)] = ""1"" or [esm_social_interact(8)] = ""1""",,,,,,
esm_social_doing,esm,,radio,"We are doing something together","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,"[esm_social_interact(1)] = ""1"" or [esm_social_interact(2)] = ""1"" or [esm_social_interact(3)] = ""1"" or [esm_social_interact(4)] = ""1"" or [esm_social_interact(5)] = ""1"" or [esm_social_interact(6)] = ""1"" or [esm_social_interact(7)] = ""1"" or [esm_social_interact(8)] = ""1""",,,,esm4,,range-type
esm_social_pleasant,esm,,radio,"I find the people I am with pleasant","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,"[esm_social_interact(1)] = ""1"" or [esm_social_interact(2)] = ""1"" or [esm_social_interact(3)] = ""1"" or [esm_social_interact(4)] = ""1"" or [esm_social_interact(5)] = ""1"" or [esm_social_interact(6)] = ""1"" or [esm_social_interact(7)] = ""1"" or [esm_social_interact(8)] = ""1""",,,,esm4,,range-type
esm_social_alone,esm,,radio,"I would prefer to be alone","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,"[esm_social_interact(1)] = ""1"" or [esm_social_interact(2)] = ""1"" or [esm_social_interact(3)] = ""1"" or [esm_social_interact(4)] = ""1"" or [esm_social_interact(5)] = ""1"" or [esm_social_interact(6)] = ""1"" or [esm_social_interact(7)] = ""1"" or [esm_social_interact(8)] = ""1""",,,,esm4,,range-type
esm_social_connected,esm,,radio,"I feel connected to the people I am with","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,"[esm_social_interact(1)] = ""1"" or [esm_social_interact(2)] = ""1"" or [esm_social_interact(3)] = ""1"" or [esm_social_interact(4)] = ""1"" or [esm_social_interact(5)] = ""1"" or [esm_social_interact(6)] = ""1"" or [esm_social_interact(7)] = ""1"" or [esm_social_interact(8)] = ""1""",,,,esm4,,range-type
esm_social_ok_alone,esm,,radio,"I feel fine being alone","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,"[esm_social_interact(0)] = ""1""",,,,esm5,,range-type
esm_social_others,esm,,radio,"I would prefer to be with others","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,"[esm_social_interact(0)] = ""1""",,,,esm5,,range-type
esm_social_choice,esm,,radio,"Being alone right now is my choice","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,"[esm_social_interact(0)] = ""1""",,,,esm5,,range-type
esm_social_left_out,esm,,radio,"I feel left out","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,"[esm_social_interact(0)] = ""1""",,,,esm5,,range-type
esm_social_virt_interact,esm,,radio,"I am interacting using virtual communication","0,No|1,Yes",,,,,,,,,,,,
esm_social_virt_pleasant,esm,,radio,"I find this virtual interaction pleasant","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,"[esm_social_virt_interact]=""1""",,,,,,range-type
esm_stress_situation,esm,,radio,"Most people would find my current situation stressful","1, 1 Not at all | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Very much",,,,,,,,,,,,range-type
