"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,esm,,text,"Record ID",,"Redcap ID field (autogenerated by Redcap)",,,,,,,,,,,
esm_sleep_well,esm,,radio,"Ich habe gut geschlafen","1, 1 Gar nicht | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Sehr",,,,,,,,,,esm1,,range-type
esm_cheerful,esm,,radio,"Im Augenblick fühle ich mich fröhlich","1, 1 Gar nicht | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Sehr",,,,,,,,,,esm1,,range-type
esm_down,esm,,radio,"Im Augenblick fühle ich mich niedergeschlagen","1, 1 Gar nicht | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Sehr",,,,,,,,,,esm1,,range-type
esm_anxious,esm,,radio,"Im Augenblick fühle ich mich unruhig","1, 1 Gar nicht | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Sehr",,,,,,,,,,esm1,,range-type
esm_relaxed,esm,,radio,"Im Augenblick fühle ich mich entspannt","1, 1 Gar nicht | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Sehr",,,,,,,,,,esm1,,range-type
esm_irritated,esm,,radio,"Im Augenblick fühle ich mich genervt","1, 1 Gar nicht | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Sehr",,,,,,,,,,esm1,,range-type
esm_stressed,esm,,radio,"Im Augenblick fühle ich mich gestresst","1, 1 Gar nicht | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Sehr",,,,,,,,,,esm1,,range-type
esm_content,esm,,radio,"Im Augenblick fühle ich mich zufrieden","1, 1 Gar nicht | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Sehr",,,,,,,,,,esm1,,range-type
esm_insecure,esm,,radio,"Im Augenblick fühle ich mich unsicher","1, 1 Gar nicht | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Sehr",,,,,,,,,,esm1,,range-type
esm_hopeful,esm,,radio,"Im Augenblick fühle ich mich hoffunungsvoll","1, 1 Gar nicht | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Sehr",,,,,,,,,,esm1,,range-type
esm_lonely,esm,,radio,"Im Augenblick fühle ich mich einsam","1, 1 Gar nicht | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Sehr",,,,,,,,,,esm1,,range-type
esm_statisfied,esm,,radio,"Ich bin mit mir zufrieden","1, 1 Gar nicht | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Sehr",,,,,,,,,,esm1,,range-type
esm_restless,esm,,radio,"Ich fühle mich ruhelos","1, 1 Gar nicht | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Sehr",,,,,,,,,,esm1,,range-type
