"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,esm,,text,"Record ID",,"ID Redcap (autogenerato da Radcap)",,,,,,,,,,,
esm_sleep_well,esm,,radio,"Ho dormito bene","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_cheerful,esm,,radio,"In questo momento mi sento allegro","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_down,esm,,radio,"In questo momento mi sento giù","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_anxious,esm,,radio,"In questo momento sono in ansia","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_relaxed,esm,,radio,"In questo momento sono rilassato","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_irritated,esm,,radio,"In questo momento sono irritato","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_stressed,esm,,radio,"In questo momento sono stressato","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_content,esm,,radio,"In questo momento mi sento soddisfatto","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_insecure,esm,,radio,"In questo momento mi sento insicuro","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_hopeful,esm,,radio,"In questo momento mi sento speranzoso","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_lonely,esm,,radio,"In questo momento mi sento solo","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_statisfied,esm,,radio,"Sono soddisfatto di me stesso","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_restless,esm,,radio,"Mi sento irrequieto","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_confident,esm,,radio,"Mi sento sicuro di me","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_qol,esm,,radio,"In generale mi sento bene","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_ruminating,esm,,radio,"Sto rimuginando","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_concentrate,esm,,radio,"Sono in grado di concentrarmi bene","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm1,,range-type
esm_phys_activity,esm,,checkbox,"Cosa sto facendo (appena prima di questo bip)?","0, Niente | 1, Riposando | 2, Mangiando/Bevendo | 3, Tempo libero, passivo | 4, Tempo libero, attivo | 5, In viaggio | 6, Lavori domestici/Acquisti | 7, Lavoro/Studio | 8, Cura di sé | 9, Interagisco con altri/faccio conversazione | 10, Sono al cellulare/Sui social media | 11, Altro",,,,,,,,,,,,
esm_activity_well,esm,,radio,"Riesco a farlo bene","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm2,,range-type
esm_activity_else,esm,,radio,"Preferirei fare altro","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm2,,range-type
esm_activity_effort,esm,,radio,"Questa attività richiede dello sforzo","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm2,,range-type
esm_physical_active,esm,,radio,"Sono fisicamente attivo","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm3,,range-type
esm_physical_tired,esm,,radio,"Sono fisicamente stanco","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm3,,range-type
esm_physical_pain,esm,,radio,"Provo del dolore fisico","1, 1 Per nulla | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7  Moltissimo",,,,,,,,,,esm3,,range-type
