"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,esm,,text,"Record ID",,"Redcap ID field (autogenerated by Redcap)",,,,,,,,,,,
esm_sleep_well,esm,,radio,"He dormido bien","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_cheerful,esm,,radio,"En este momento, me siento de buen humor","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_down,esm,,radio,"En este momento, me siento deprimido/a","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_anxious,esm,,radio,"En este momento, me siento ansioso/a","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_relaxed,esm,,radio,"En este momento, me siento relajado/a","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_irritated,esm,,radio,"En este momento, me siento irritado/a","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_stressed,esm,,radio,"En este momento, me siento estresado/a","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_content,esm,,radio,"En este momento, me siento contento/a","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_insecure,esm,,radio,"En este momento, me siento inseguro/a","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_hopeful,esm,,radio,"En este momento, me siento ilusionado/a","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_lonely,esm,,radio,"En este momento, me siento solo/a","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_statisfied,esm,,radio,"Estoy satisfecho/a conmigo mismo/a","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_restless,esm,,radio,"Me siento inquieto","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_confident,esm,,radio,"Me siento seguro/a de sí mismo/a","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_qol,esm,,radio,"En general me siento bien","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_ruminating,esm,,radio,"Estoy todo el tiempo dando vueltas a las cosas","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_concentrate,esm,,radio,"Puedo concentrarme bien","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm1,,range-type
esm_phys_activity,esm,,checkbox,"¿Qué estoy haciendo? (justo antes de sonar el pitido) ","0, Nada | 1, Descandar | 2, Comer/beber | 3, Ocio pasivo | 4, Ocio activo | 5, Viajar | 6, Actividades del hogar/compras | 7, Trabajo/estudio | 8, Auto-cuidado | 9, Interacción/conversación | 10, Teléfono movíl/ redes sociales | 11, Otras cosas",,,,,,,,,,,,
esm_activity_well,esm,,radio,"Puedo hacer esto bien","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm2,,range-type
esm_activity_else,esm,,radio,"Preferiría estar haciendo otras cosas","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm2,,range-type
esm_activity_effort,esm,,radio,"Esta actividad requiere esfuerzo","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm2,,range-type
esm_physical_active,esm,,radio,"Estoy físicamente activo","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm3,,range-type
esm_physical_tired,esm,,radio,"Estoy físicamente cansado","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm3,,range-type
esm_physical_pain,esm,,radio,"Tengo dolor fisico","1, 1 Nada | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Muchísimo",,,,,,,,,,esm3,,range-type
